course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AASP400,Sharon Harley,2,11,10,13,8,5,4,3,1,3,1,0,6,7,0
AASP401,Oscar Barbarin,2,3,2,4,4,1,1,0,0,0,0,0,1,0,1
AASP402,David Terry,10,20,20,5,14,2,0,2,1,1,0,0,2,1,3
AASP402,Periloux Peay,6,6,3,1,0,0,0,0,1,0,0,0,1,2,0
AASP402,Sangeetha Madhavan,1,2,6,2,1,1,0,1,1,0,0,0,1,3,0
AASP402,Shane Walsh,3,9,3,2,0,0,0,0,0,0,0,0,0,4,1
AASP402,Sharon Harley,0,1,6,2,6,4,0,0,0,0,0,0,0,0,1
AASP411,Ida Jones,5,4,0,1,2,0,0,1,0,0,0,0,0,3,0
AASP411,Jerry Semper,4,20,0,6,0,0,0,0,0,0,0,0,0,1,0
AASP411,Melinda Chateauvert,0,4,10,2,4,0,1,0,0,0,0,0,0,4,2
AASP411,Ricco Hall,2,1,0,0,0,0,1,0,0,0,0,0,0,0,3
AASP412,Robert Choflet,2,6,1,0,0,0,0,0,0,0,0,0,1,0,2
AASP413,Ashley Newby,3,1,3,1,0,0,0,0,0,0,0,0,3,2,0
AASP417,Angel Dunbar,1,4,3,3,0,2,0,0,1,0,0,0,0,0,0
AASP441,Chinyere Osuji,1,4,2,3,3,3,0,0,1,0,0,0,1,0,1
AASP441,Jerry Semper,85,166,7,13,2,1,2,0,3,0,1,0,0,1,1
AASP443,Joseph Clark,4,34,57,71,46,15,3,0,0,0,0,0,1,8,13
AASP468A,Robert Turner,0,11,2,2,2,0,4,1,0,0,0,0,2,2,3
AASP483,Melinda Chateauvert,1,5,5,2,2,0,1,0,0,0,0,0,1,1,1
AASP498C,Odis Johnson,0,0,6,3,6,0,2,1,0,0,0,1,0,2,0
AASP498E,Angel Dunbar,7,6,7,1,1,2,1,2,1,0,0,1,1,1,2
AASP498J,Angel Dunbar,13,8,14,4,2,6,1,2,3,0,0,0,3,7,3
