prereq,course
BUSM606,BUSM761
BUSM606,BUSM762
BUSO602,BUSO601
BUSM600,BUSO706
BUSO600,BUSO706
BUSI662,BUSO706
EMBA656,BUSO706
BUSM606,BUSO733
BUSO607,BUSO733
BUSI630,BUSO733
BUSI650,BUSO740
BUSM612,BUSO740
BUSO612,BUSO740
CCJS100,CCJS200
CCJS105,CCJS200
STAT100,CCJS200
MATH107,CCJS200
MATH111,CCJS200
MATH120,CCJS200
MATH130,CCJS200
MATH135,CCJS200
MATH140,CCJS200
CCJS100,CCJS230
CCJS100,CCJS300
CCJS105,CCJS300
PSYC200,CCJS300
CCJS200,CCJS300
ECON321,CCJS300
BMGT230,CCJS300
SOCY201,CCJS300
CCJS100,CCJS320
CCJS230,CCJS320
CCJS100,CCJS340
CCJS100,CCJS342
CCJS100,CCJS345
CCJS100,CCJS346
CCJS100,CCJS352
CCJS105,CCJS360
CCJS100,CCJS370
CCJS100,CCJS405
CCJS105,CCJS405
CCJS100,CCJS418F
CCJS105,CCJS418F
CCJS300,CCJS418F
CCJS105,CCJS450
CCJS300,CCJS450
CCJS105,CCJS451
CCJS300,CCJS451
CCJS300,CCJS454
CCJS105,CCJS454
CCJS100,CCJS460
CCJS620,CCJS621
CCJS632,CCJS633
CCJS610,CCJS700
CHEM135,CHBE101
CHBE301,CHBE302
CHBE101,CHBE422
CHBE250,CHBE422
MATH241,CHBE422
MATH246,CHBE422
CHBE422,CHBE424
CHBE301,CHBE440
MATH241,CHBE440
MATH246,CHBE440
CHBE442,CHBE446
CHBE444,CHBE446
MATH246,CHBE457
CHEM231,CHBE457
CHBE301,CHBE457
ENMA461,CHBE457
BIOE232,CHBE457
BIOE120,CHBE480
CHBE302,CHBE486
CHBE424,CHBE486
CHBE440,CHBE486
BIOE120,CHBE497
CHBE302,CHBE497
CHBE440,CHBE497
CHBE422,CHBE630
ENCH424,CHBE630
CHBE440,CHBE640
CHBE302,CHBE686
CHBE424,CHBE686
CHBE440,CHBE686
MATH120,CHEM131
MATH120,CHEM132
CHEM131,CHEM134
CHEM146,CHEM134
MATH120,CHEM135
CHEM135,CHEM136
MATH120,CHEM136
CHEM131,CHEM231
CHEM135,CHEM231
CHEM146,CHEM231
CHEM132,CHEM231
CHEM136,CHEM231
CHEM147,CHEM231
CHEM177,CHEM231
CHEM131,CHEM232
CHEM132,CHEM232
CHEM135,CHEM232
CHEM136,CHEM232
CHEM146,CHEM232
CHEM147,CHEM232
CHEM131,CHEM232S
CHEM132,CHEM232S
CHEM135,CHEM232S
CHEM136,CHEM232S
CHEM146,CHEM232S
CHEM147,CHEM232S
CHEM131,CHEM237
CHEM135,CHEM237
CHEM146,CHEM237
CHEM132,CHEM237
CHEM136,CHEM237
CHEM147,CHEM237
CHEM231,CHEM241
CHEM232,CHEM241
CHEM237,CHEM241
CHEM231,CHEM242
CHEM232,CHEM242
CHEM237,CHEM242
CHEM241,CHEM271
