professor,avg_gpa,total_grades
Amanda Fiore,3.2101754385964916,570
Amanda Giffi,3.2110526315789474,190
Amanda Ginter,3.2262068965517243,145
Amanda Hall,3.7070320579110656,967
Amanda Irions,3.256043956043956,182
Amanda Kennedy,3.283164983164983,297
Amanda Kerr,3.25,20
Amanda Lazar,3.3875502008032123,498
Amanda Lefky,3.894444444444445,18
Amanda Long,3.8680000000000003,25
Amanda Lorenz,3.8000000000000003,14
Amanda Mason-Singh,3.607058823529411,85
Amanda Olson,3.2882521489971346,349
Amanda Preperato,3.704255319148936,47
Amanda Revisky,3.4256704980842914,261
Amanda Schech,3.031004133884518,7499
Amanda Schwartz,3.8006872852233675,291
Amanda Souna,3.124411764705883,680
Amanda Stallings,3.3763888888888887,72
Amanda Tang,3.0478260869565217,23
Amanda Torres,3.7714285714285714,42
Amanda Wilder,0.0,11
Amara Channell Doig,3.698019801980198,202
Amber Bloomfield,3.51875,16
Amber Daniels,3.7819383259911894,227
Amber Dees,3.786956521739131,23
Amber Johnson,3.7510638297872343,94
Amber Moore,3.7049689440993787,161
Amber Pasha,3.8523076923076918,130
Amber Pierdinock-Weed,4.0,28
Amber Westcott-Baker,3.425741029641185,641
Amde Amde,3.6352941176470592,1088
Amee Bearne,3.9823529411764707,17
Amelia Arria,2.8108247422680415,776
Amelia Branigan,3.6228270412642676,1139
Amelia Gibson,3.6494252873563218,174
Amelia Hogan,3.6184210526315796,38
Amelia Meli,3.6701492537313434,67
Ami Patel,3.4774193548387102,31
Amilcar Guzman,3.8200000000000003,5
Amin Gholampour,2.7998096144693,2101
Amir Riaz,3.0172788411795137,1933
Amir Sapkota,3.202589928057554,1390
Amir Shooshtari,3.420833333333333,144
Amira Lundy-Harris,3.8641399416909623,343
Amit Bubna,3.5755813953488373,86
Amitabh Varshney,3.915,20
Amith Chandrashaker,3.7625,40
Amna Khawaja,3.221497584541063,414
Amna Kirmani,3.4802941176470585,340
Amol Deshpande,3.1655330882352937,1088
Amr Baz,3.7126184834123226,1688
Amr Keshta,2.865217391304348,23
Amro Hassanein,3.4545454545454546,77
Amy Alexander,3.914285714285714,175
Amy Baxter,3.2609022556390976,399
Amy Beaven,4.0,9
Amy Broadbent,3.8461538461538463,26
Amy Brown,3.50625,64
Amy Burk,3.235891089108911,808
Amy Carattini,3.85,24
Amy Carrier,4.0,19
Amy D'Agati,3.538888888888889,18
Amy Fischer,2.8874999999999997,8
Amy Fisher,3.8778162911611784,1731
Amy French,3.5181818181818185,11
Amy Fuhrmann,3.7836734693877547,49
Amy Gardner,3.4243478260869566,115
Amy Gordon,3.445945945945946,37
Amy Green,3.830373831775701,214
Amy Ho,2.954887218045113,133
Amy Karlsson,3.2003976143141157,1006
Amy Karp,2.9296296296296296,54
Amy Katzel,3.4,20
Amy Kincaid,3.23671875,128
Amy Lewin,3.2790681971640785,1481
Amy Lien,3.5571428571428574,14
Amy Lintner,3.5343283582089553,67
Amy Marin,3.870731707317073,41
Amy Martin,3.925,20
Amy McLaughlin,3.1171428571428574,210
Amy Merritt,3.8904761904761904,21
Amy Morgan,3.7085365853658536,410
Amy Mullin,3.2795811518324607,382
Amy Pate,3.6788343558282213,326
Amy Sametshaw,3.8722222222222222,18
Amy Sapkota,3.7900000000000005,160
Amy Schachtner-Appel,3.612173913043478,115
Amy Stonelake,3.8357142857142854,42
Amy Vaillancourt,3.5567251461988305,171
Amy Villamagna,3.587142857142857,140
Amy Voltz,3.748765432098766,162
Amy Wu,3.6333333333333337,18
An Wang,3.1382575757575757,264
Ana Acedo Garcia,3.4946072684642435,1706
Ana Claudia Dos Santos Sao Bernardo,3.4875000000000003,48
Ana Cuevas Albarran,3.3090909090909095,11
Ana Farach,3.3641975308641974,81
Ana Farfan,3.92112676056338,71
Ana Navarro Cebrian,3.4116610169491524,1475
Ana Ndumu,3.6525885558583107,367
Ana Palla,3.95979381443299,97
Ana Palla-Kane,3.8858895705521475,489
Ana Perez,3.737931034482759,58
Ana Prieto,2.779310344827586,58
Ana Rodriguez,3.3587999999999996,500
Ana Sanchez-Rivera,3.696,100
Ana Taboada Barber,3.659615384615385,208
Ana-Maria Nuevo,3.925,4
Ana-Sophia Ross,3.8485714285714283,35
Anahi Espindola,3.628013029315961,307
Anamaria Berea,2.9450000000000003,40
Anand Anandalingam,3.4773345421577515,1103
Anand Gopal,3.5989698890649757,1262
Anand Patwardhan,3.811048158640227,353
Anand Sharma,3.6142857142857148,42
Anani Kuwornu,3.8081081081081076,74
Anant Agrawal,3.205263157894737,19
Ananth Musurapakam Virakthi,3.058974358974359,39
Anastasia Lavrenyuk,3.814814814814815,27
Anastasia Tosouni,2.8756559766763847,686
Anastasiia Selemeneva,3.7032,125
Anastasiya Pocheptsova,3.4063492063492062,252
Anat Shahar,3.9181818181818184,11
Anat Szendro Sevilla,3.4954838709677416,155
Anatole Tchikine,3.7099999999999995,40
Andi Sauer,3.37,50
Andre Adams,3.90875,80
Andre Markon,3.3263157894736834,114
Andre Marshall,3.5823293172690764,249
Andre Perry,4.0,19
Andre Rupp,3.6581818181818178,55
Andre Tits,2.6671673819742487,466
Andrea Batch,4.0,5
Andrea Brown,3.955749235474006,3270
Andrea Chisolm,3.859024390243902,615
Andrea Chronis-Tuscano,3.4001808318264013,1106
Andrea Frisch,3.526283987915408,331
Andrea Knowles,3.3929328621908126,566
Andrea Koppel,3.4974358974358974,78
Andrea Leiman,3.47,40
Andrea Liberto,3.792167454422688,1481
Andrea Lopez,3.6381738173817375,909
Andrea McGray,4.0,4
Andrea Ottesen,4.0,14
Andrea Romeo,3.731374501992032,1004
Andrea Torres Armas,3.517699115044248,113
Andrea Wiggins,3.888541666666667,96
Andrea Yarberry,3.497142857142857,35
Andrea Zukowski,3.8419047619047624,105
Andreas Roy,3.005263157894737,152
Andrei Vedernikov,2.8678239305641666,1613
Andres De Los Reyes,3.7888888888888888,783
Andres Garcia,3.578362573099415,171
Andres Losada,3.5818181818181816,11
Andres Perez Rojas,3.4974842767295597,159
Andres Villarreal,2.968482490272374,514
Andrew Anderson,3.894444444444445,54
Andrew Andrew,3.960869565217391,23
Andrew Baden,3.13828125,128
Andrew Baldwin,3.610473457675753,697
Andrew Becnel,3.4008683068017365,1382
Andrew Bernish,3.7410256410256406,78
Andrew Bewick,3.950769230769231,130
Andrew Black,2.9625000000000004,32
Andrew Brantlinger,3.923963133640553,217
Andrew Broadbent,3.496923076923077,65
Andrew Caves,3.332432432432432,74
Andrew Childs,3.079220779220779,1232
Andrew Cissna,3.8364611260053625,373
Andrew Cohen,3.751162790697674,43
Andrew Delfino,3.7726673984632266,911
Andrew Egel,3.1240625,320
Andrew Elby,3.995454545454545,66
Andrew Elmore,3.1374999999999997,24
Andrew Fellows,3.853811659192825,446
Andrew Fenelon,3.8185567010309276,97
Andrew Ferguson,3.622093023255814,172
Andrew Fyfe,3.2188539741219966,541
Andrew Ginsberg,3.9323291925465838,3220
Andrew Grainger,3.1470588235294117,68
Andrew Hare,3.8960000000000004,25
Andrew Harris,3.123209169054442,349
Andrew Howard,3.6033412887828162,419
Andrew Jannett,3.7666666666666666,18
Andrew Kaufman,3.3894736842105258,19
Andrew Kellett,3.1419191919191913,198
Andrew Kelmers,3.5470588235294116,17
Andrew Knoll,3.3526544821583983,1149
Andrew Koenings,3.313333333333334,45
Andrew Lauziere,3.061764705882353,34
Andrew Lazara,3.347826086956522,23
Andrew Lazur,3.9815384615384617,65
Andrew Lind,3.0987012987012985,154
Andrew Lindberg,3.184090909090909,176
Andrew Linn,3.562909090909091,275
Andrew Lounder,4.0,15
Andrew Lowe Mohammed,3.882857142857143,35
Andrew Lugg,3.5209876543209875,81
Andrew Marsh,2.556,25
Andrew Matuza,3.965,20
