stop_id,title,lat,long,stop_title
baltogle,Baltimore Ave and Oglethorpe St,38.9593855,-76.9397604,Baltimore Ave and Oglethorpe St
44thquee,Queensbury Rd and 44th Pl,38.9632582,-76.9404546,Queensbury Rd and 44th Pl
quee42nd,Queensbury Rd and 42nd Pl,38.9637691,-76.9450616,Queensbury Rd and 42nd Pl
belcquch,Belcrest Rd and Queens Chapel Rd,38.9643701,-76.9527003,Belcrest Rd and Queens Chapel Rd
pgmetro_in,Prince George's Plaza Metro Station (Inbound),38.9654413,-76.9537801,Prince George's Plaza Metro Station (Inbound)
pgcc,Prince George's Community College,38.9681505,-76.95394,Prince George's Community College
belctole,Toledo Rd and Belcrest Rd (Inbound),38.9698444,-76.9532048,Toledo Rd and Belcrest Rd (Inbound)
adeltole,Adelphi Rd and Toledo Rd,38.9706254,-76.9490295,Adelphi Rd and Toledo Rd
adelvbur,Adelphi Rd and Van Buren St,38.975281,-76.9517565,Adelphi Rd and Van Buren St
adelwell_in,Adelphi Rd and Wells Pkwy (Inbound),38.9792306,-76.9543073,Adelphi Rd and Wells Pkwy (Inbound)
adeltula,Adelphi Rd and Campus Dr,38.9846321,-76.9553383,Adelphi Rd and Campus Dr
collpksh,College Park Shopping Ctr (Outbound),38.9809619,-76.9390277,College Park Shopping Ctr (Outbound)
baltritc,Ritchie Coliseum,38.9852774,-76.9370967,Ritchie Coliseum
univview,University View,38.99234,-76.9338999,University View
baltvars,Baltimore Ave at The Varsity,38.9908313,-76.9340075,Baltimore Ave at The Varsity
mcirc,Campus Dr at M Circle,38.987699,-76.9395199,Campus Dr at M Circle
lot1,Union Dr at Lot 1b,38.9872099,-76.9481576,Union Dr at Lot 1b
cspac,Valley Drive at Stadium Drive Garage,38.9902373,-76.9494,Valley Drive at Stadium Drive Garage
elk,Elkton Hall,38.9924177,-76.9485888,Elkton Hall
hage,Hagerstown Hall,38.99297,-76.947599,Hagerstown Hall
laplat,La Plata Hall,38.9922186,-76.94563,La Plata Hall
varhous,Varsity Team House,38.9906039,-76.9454355,Varsity Team House
stadatl,Stadium Drive at Atlantic Building,38.9905589,-76.9421162,Stadium Drive at Atlantic Building
mitc_out,Mitchell Building (Outbound),38.9866498,-76.9401999,Mitchell Building (Outbound)
memo_out,Memorial Chapel (Outbound),38.9848206,-76.94015,Memorial Chapel (Outbound)
mont_out,Montgomery Hall (Outbound),38.9824312,-76.9391529,Montgomery Hall (Outbound)
baltritc_s,Ritchie Coliseum,38.9852774,-76.9370967,Ritchie Coliseum
mcirc_s,Campus Dr at M Circle,38.9877034,-76.9394934,Campus Dr at M Circle
hoff,Hoff Theater,38.9880692,-76.94539,Hoff Theater
uniofiel,Union Ln and Fieldhouse Dr,38.9886932,-76.9453067,Union Ln and Fieldhouse Dr
biofield,BioSciences Research Building,38.9892576,-76.9421089,BioSciences Research Building
cour300,Courtyards #300,39.0013104,-76.9419255,Courtyards #300
cour400,Courtyards #400,39.001867,-76.94271,Courtyards #400
gree,Greenmeade Dr at Maryland 4-H (Inbound),39.0026811,-76.9433266,Greenmeade Dr at Maryland 4-H (Inbound)
lot4i_r,Paint Branch Dr at Lot 4b (Inbound),38.9978287,-76.9404883,Paint Branch Dr at Lot 4b (Inbound)
univclub,University Club Apartments,38.9906518,-76.9298057,University Club Apartments
varsity,Baltimore Ave at The Varsity,38.9908309,-76.9340079,Baltimore Ave at The Varsity
dent,Denton Hall,38.9919122,-76.9500274,Denton Hall
tula3424,Graduate Hills at 3424 Tulane Dr,38.9849405,-76.9559259,Graduate Hills at 3424 Tulane Dr
tula3410,Graduate Hills at 3410 Tulane Dr,38.984739,-76.9572802,Graduate Hills at 3410 Tulane Dr
tula3403,Graduate Hills at 3404 Tulane Dr,38.9846822,-76.95824,Graduate Hills at 3404 Tulane Dr
camplot19,Campus Dr at UMUC Lot 19,38.9852911,-76.9544776,Campus Dr at UMUC Lot 19
univbapt,University Methodist Church,38.9848573,-76.9524262,University Methodist Church
hillmunc,Van Munching Hall (Inbound),38.9830167,-76.9482112,Van Munching Hall (Inbound)
lds,LDS Institute of Religion,38.9822297,-76.9471916,LDS Institute of Religion
sccomm1_2,South Campus Commons 1 & 2,38.9823305,-76.9434585,South Campus Commons 1 & 2
4315rwlt,Graduate Gardens at 4315 Rowalt Dr,38.9788425,-76.9414545,Graduate Gardens at 4315 Rowalt Dr
4327rwlt,Graduate Gardens at 4327 Rowalt Dr,38.9782048,-76.9400307,Graduate Gardens at 4327 Rowalt Dr
balthart_in,Baltimore Ave and Hartwick Rd (Inbound),38.9794663,-76.93783,Baltimore Ave and Hartwick Rd (Inbound)
shoebuil,Shoemaker Building,38.9838654,-76.9421853,Shoemaker Building
loty,Lot Y and Chapel Dr,38.9843599,-76.9417399,Lot Y and Chapel Dr
painstad_r,Glenn L. Martin Wind Tunnel,38.9899585,-76.9372506,Glenn L. Martin Wind Tunnel
avwill,A.V. Williams Building,38.9909815,-76.93726,A.V. Williams Building
techpain,Paint Branch Dr and Technology Dr,38.9925816,-76.93727,Paint Branch Dr and Technology Dr
camb,Cambridge Hall (Outbound),38.9914576,-76.943027,Cambridge Hall (Outbound)
cumber,Cumberland Hall,38.9923509,-76.944254,Cumberland Hall
stamsu_m,Stamp Student Union - Slip,38.9876098,-76.9439438,Stamp Student Union - Slip
knoxyale,Knox Road and Yale Avenue,38.9806089,-76.9368551,Knox Road and Yale Avenue
prinknox,Knox Rd and Princeton Ave,38.9802601,-76.9353307,Knox Rd and Princeton Ave
hopkknox,Knox Rd and Hopkins Ave,38.9799235,-76.9338359,Knox Rd and Hopkins Ave
knoxrhod,Knox Rd and Rhode Island Ave,38.9796165,-76.9324227,Knox Rd and Rhode Island Ave
rhodcoll,Rhode Island Ave & College Ave,38.9807245,-76.9318659,Rhode Island Ave & College Ave
rhodnorw_s,Rhode Island Ave and Norwich Rd,38.9818979,-76.9313952,Rhode Island Ave and Norwich Rd
rossrhod,Rossborough Ln and Rhode Island Ave,38.9834008,-76.93131,Rossborough Ln and Rhode Island Ave
5frat,Fraternity Row #5,38.9848022,-76.9342719,Fraternity Row #5
leoncomm_out,Leonardtown Community Center,38.98371,-76.9337999,Leonardtown Community Center
11frat,Fraternity Row #11,38.983016,-76.9354865,Fraternity Row #11
yalecoll,Yale Ave and Lehigh Rd,38.9815053,-76.9364056,Yale Ave and Lehigh Rd
yaleknox_ib,Yale Avenue and Knox Road,38.9806721,-76.9368328,Yale Avenue and Knox Road
collpksh_ib,College Park Shopping Center (Inbound),38.9810063,-76.9389541,College Park Shopping Center (Inbound)
scam34,South Campus Commons 3 and 4,38.9811409,-76.9408182,South Campus Commons 3 and 4
sccomm5_6,South Campus Commons 5 and 6,38.9823229,-76.9448437,South Campus Commons 5 and 6
lota,Preinkert Drive at Lot A,38.9842509,-76.9451946,Preinkert Drive at Lot A
somehall,Somerset Hall,38.9847538,-76.9458235,Somerset Hall
annearun,Anne Arundel Hall,38.9859448,-76.9469495,Anne Arundel Hall
dorchall,Dorchester Hall,38.9869691,-76.9465401,Dorchester Hall
univshad,The Universities at Shady Grove,39.0934528,-77.2018299,The Universities at Shady Grove
univpkth,Baltimore Ave at University Park Town Hall,38.9725018,-76.9380183,Baltimore Ave at University Park Town Hall
baltrive_out,Baltimore Avenue at Riverdale Park Station (Outbound),38.9699162,-76.9383656,Baltimore Avenue at Riverdale Park Station (Outbound)
baltunde,Baltimore Ave and Underwood St,38.9686098,-76.9385684,Baltimore Ave and Underwood St
ewhwbeal,East-West Hwy and W Beale Cir,38.9641206,-76.9379016,East-West Hwy and W Beale Cir
ewhwtayl_out,East-West Hwy and Taylor Rd (Outbound),38.9623242,-76.9294593,East-West Hwy and Taylor Rd (Outbound)
rivd63rd,Riverdale Rd and 63rd Ave,38.9609676,-76.9100993,Riverdale Rd and 63rd Ave
riveeast,Riverdale Rd and Eastpine Dr,38.9610499,-76.9067853,Riverdale Rd and Eastpine Dr
rive67th,Riverdale Rd and 67th Ave,38.9613322,-76.9028455,Riverdale Rd and 67th Ave
riveaubu,Riverdale Rd and Auburn Ave,38.9642799,-76.8971077,Riverdale Rd and Auburn Ave
rivemart,Riverdale Rd and Martins Ln,38.9634325,-76.8893633,Riverdale Rd and Martins Ln
rivefinn,Riverdale Rd and Finns Ln,38.9620909,-76.8867462,Riverdale Rd and Finns Ln
rivelamo,Riverdale Rd and Lamont Dr,38.9613655,-76.8826626,Riverdale Rd and Lamont Dr
