stop_id,title
lamodono,Lamont Dr and Donoghue Dr
lamoelem,Good Luck Rd at Lamont Elementary School
gdlknash,Good Luck Rd and Nashville Rd
gdlkian,Good Luck Rd and Ian St
aubuches,Auburn Ave and Chestnut Ave
aubu3rd,Auburn Ave and 3rd St
aubu1st,Auburn Ave and 1st St
auburive,Auburn Ave and Riverdale Rd
wildshop,Riverdale Rd at Wildercroft Shopping Center
rive67ct,Riverdale Rd and 67th Ct
rive64th,Riverdale Rd and 64th Ave
rive62nd_in,Riverdale Rd and 62nd Place
rive58th,Riverdale Rd at St Jude Lutheran Church
ewhwtayl_in,East-West Hwy and Taylor Rd (Inbound)
baltsher,Baltimore Ave and Sheridan St
ngarmo,Baltimore Ave at National Guard Armory
baltrive_in,Baltimore Avenue at Riverdale Park Station (Inbound)
baltamhe,Baltimore Ave and Amherst Rd
campmath_m,Campus Dr at Math Slip
baltmacd,Baltimore Avenue and Berwyn House Road
baltqueb_out,Baltimore Ave and Quebec St(Outbound)
balttecu,Baltimore Avenue and Tecumseh Street
rhoduniv,Rhode Island Avenue and University Boulevard (Outbound)
rhodcher,Rhode Island Avenue and Cherokee Street (Outbound)
rhodfox,Rhode Island Avenue and Fox Street (Outbound)
rhodholl,Rhode Island Avenue and Hollywood Road (Outbound)
rhodshop,Rhode Island Avenue at Hollywood Shopping Center
edgerhod,Edgewood Road and Rhode Island Avenue (Outbound)
edge49th,Edgewood Road and 49th Avenue (Outbound)
mazz,Mazza GrandMarc
baltberw_s,Baltimore Ave and Berwyn Rd (Inbound)
baltqueb_in,Baltimore Ave and Quebec St (Inbound)
varsfron,Baltimore Ave at The Varsity
dent_e,Denton Hall
enclave_s,The Enclave
vars,Baltimore Ave at The Varsity
laplat_out,La Plata Hall (Outbound)
hage_out,Hagerstown Hall (Outbound)
elkton_out,Elkton Hall (Outbound)
vallstad,Valley Drive at Stadium Drive Garage (Outbound)
benj,Benjamin Building
amersafe,America Boulevard at Safeway
amerregal,America Boulevard at Regal Cinemas Hyattsville
guilrowa_in,Guilford Drive and Rowalt Drive (Inbound)
hage_in,Hagerstown Hall (Inbound)
laplat_in,La Plata Hall (Inbound)
painglen_ob,Glenn L. Martin Wind Tunnel
baltpaca,Baltimore St & Paca St
painglen_ib,Glenn L. Martin Wind Tunnel
