name,code,id,long,lat
Parking Lot 4b,,P121,-76.9411817,38.9970546
Parking Lot 4j,,P124,-76.93922847,38.99721475
Parking Lot 4n,,P234,-76.94324858,38.9975986
Parking Lot 5,,P126,-76.9409605,38.9897447
Parking Lot 6,,P127,-76.9441224,38.9948837
Parking Lot 9b,,P128,-76.9379481,38.99443435
Parking Lot 9c,,P129,-76.93920269,38.994263
Parking Lot A,,P130,-76.94455544,38.98430415
Parking Lot A*1,,P131,-76.94812275,38.9862722
Parking Lot B,,P135,-76.9409603,38.98961455
Parking Lot BB,,P136,-76.94374328,38.98868945
Parking Lot C1,,P137,-76.93730825,38.98662605
Parking Lot C2,,P138,-76.9386467,38.98525575
Parking Lot CC1,,P140,-76.93953476,38.99236635
Parking Lot CC2,,P141,-76.940687,38.9916206
Parking Lot D,,P143,-76.94503695,38.98512635
Parking Lot D,,P257,-76.94531881,38.98552325
Parking Lot E,,P125,-76.9371846,38.98927645
Parking Lot E*1,,P146,-76.93950635,38.98895295
Parking Lot E*2,,P147,-76.93874685,38.98936235
Parking Lot EE,,P148,-76.93777255,38.98956665
Parking Lot F,,P149,-76.93621933,38.98280315
Parking Lot FF,,P150,-76.93991144,38.99431135
Parking Lot FF2,,P151,-76.93921852,38.9931298
Parking Lot G,,P258,-76.93854388,38.9919303
Parking Lot H1,,P152,-76.9408902,38.98714445
Parking Lot HH1,,P155,-76.94377054,38.9871964
Parking Lot HH2,,P156,-76.94872179,38.99179395
Parking Lot I*,,P158,-76.93692111,38.99243845
Parking Lot II1,,P239,-76.93916665,38.9896806
Parking Lot JJ1,,P159,-76.94833313,38.98539355
Parking Lot JJ2,,P160,-76.94930497,38.9850641
Parking Lot JJ3,,P241,-76.94910429,38.98614505
Parking Lot K*2,,P162,-76.93607871,38.98664725
Parking Lot K*4,,P163,-76.93483303,38.986413
Parking Lot K*5,,P250,-76.93493248,38.98521105
Parking Lot K1,,P164,-8564367.453,4719533.974
Parking Lot K2,,P165,-76.93461561,38.98554405
Parking Lot K4,,P235,-76.9429212,38.99640555
Parking Lot K5,,P167,-76.93630269,38.98296465
Parking Lot K6,,P168,-76.95488618,38.99083205
Parking Lot KK,,P169,-76.93912685,38.99074565
Parking Lot KK1,,P237,-76.93907107,38.99103585
Parking Lot L,,P170,-76.93904409,38.985601
Parking Lot L*,,P171,-76.93957318,38.98602365
Parking Lot ML*,,P254,-76.94504546,38.9820502
Parking Lot MM1,,P172,-76.94428242,38.99208515
Parking Lot MM2,,P173,-76.94165847,38.9924268
Parking Lot MM3,,P174,-76.94307075,38.99134275
Parking Lot N,,P178,-76.94832595,38.992758
Parking Lot N*,,P177,-76.94962076,38.99315285
Parking Lot N*,,P183,-76.94887091,38.99306485
Parking Lot N*1,,P246,-76.93994088,38.982763
Parking Lot N*2,,P175,-76.93884355,38.98243265
Parking Lot N*3,,P176,-76.94342388,38.9826911
Parking Lot N3,,P179,-76.94554575,38.9927533
Parking Lot N4,,P180,-76.94428505,38.9925133
Parking Lot N5,,P181,-76.93215583,38.9835147
Parking Lot N7,,P182,-76.94777381,38.9925869
Parking Lot N9,,P184,-76.94695749,38.99306985
Parking Lot O1,,P185,-76.94791655,38.98399525
Parking Lot O3,,P187,-76.94830024,38.98442185
Parking Lot O4,,P188,-76.9462972,38.9843053
Parking Lot O5,,P189,-76.9477835,38.98355155
Parking Lot P*,,P191,-76.94270605,38.9981942
Parking Lot P1,,P192,-76.94318964,38.998125
Parking Lot P2,,P193,-76.94210215,38.99898715
Parking Lot PP*,,P195,-76.94037249,38.99385655
Parking Lot PP1,,P196,-76.94208538,38.9933824
Parking Lot PP2,,P197,-76.94069873,38.99385655
Parking Lot Q,,P198,-76.94387608,38.9911695
Parking Lot Q1,,P262,-76.94348007,38.9911726
Parking Lot R*,,P199,-76.94569384,38.9893944
Parking Lot R3,,P200,-76.94553081,38.9902248
Parking Lot R4,,P201,-76.95470385,38.99062525
Parking Lot RR,,P203,-76.9409602,38.98948445
Parking Lot RR1,,P251,-76.93449029,38.9869681
Parking Lot RR2,,P265,-76.93791075,38.9948436
Parking Lot RR2,,P252,-76.93433161,38.9876128
Parking Lot S3,,P204,-76.94302334,38.9925145
Parking Lot S4,,P205,-76.94373945,38.98246725
Parking Lot S5,,P206,-76.94943241,38.9933015
Parking Lot S7,,P207,-76.94777258,38.99283285
Parking Lot S8,,P208,-76.94670354,38.99288295
Parking Lot SD*,,P209,-76.94891877,38.9902444
Parking Lot SS1,,P211,-76.94415491,38.9937615
Parking Lot SS2,,P212,-76.9463361,38.99397245
Parking Lot SS3,,P213,-76.9466761,38.9942645
Parking Lot T,,P215,-76.93772982,38.98986685
Parking Lot TT,,P217,-76.94036895,38.98852595
Parking Lot U1,,P218,-76.9437394,38.9826911
Parking Lot U6,,P260,-76.94502417,38.9828241
Parking Lot U6,,P247,-76.94497595,38.9828063
Parking Lot UU,,P224,-76.93982963,38.99054885
Parking Lot W,,P225,-76.94138604,38.98486265
Parking Lot W1,,P244,-76.94248459,38.98494595
